"","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","case","death"
"16","2020-03-01",10,9,23,6,5,-1,2,0
"17","2020-03-02",3,3,1,-2,-1,1,0,0
"18","2020-03-03",4,6,8,-2,0,0,9,0
"19","2020-03-04",5,4,11,0,-1,1,9,0
"20","2020-03-05",7,5,18,-1,-2,1,0,0
"21","2020-03-06",1,-1,6,-3,-1,1,12,0
"22","2020-03-07",6,5,17,3,6,0,0,0
"23","2020-03-08",9,7,50,3,4,0,6,0
"24","2020-03-09",4,4,31,-3,2,1,6,0
"25","2020-03-10",-1,1,-2,-6,1,1,5,1
"26","2020-03-11",3,7,12,-3,2,1,15,0
"27","2020-03-12",7,27,11,-6,2,1,26,0
"28","2020-03-13",-5,35,-16,-17,-6,5,0,0
"29","2020-03-14",-11,19,-8,-19,-1,5,35,0
"30","2020-03-15",-12,11,28,-22,-5,4,38,0
"31","2020-03-16",-12,23,15,-37,-27,10,17,0
"32","2020-03-17",-27,13,7,-45,-35,14,56,0
"33","2020-03-18",-33,7,14,-48,-40,16,75,3
"34","2020-03-19",-36,4,18,-52,-43,17,100,3
"35","2020-03-20",-44,-5,-8,-54,-45,20,145,1
"36","2020-03-21",-49,-12,11,-49,-32,13,277,2
"37","2020-03-22",-51,-21,4,-54,-35,11,125,1
"38","2020-03-23",-45,-13,-27,-63,-51,20,331,4
"39","2020-03-24",-49,-15,-10,-64,-55,22,128,0
"40","2020-03-25",-53,-21,1,-65,-59,23,216,3
"41","2020-03-26",-54,-21,-18,-68,-59,25,313,1
"42","2020-03-27",-55,-21,-10,-66,-59,26,1426,3
"43","2020-03-28",-59,-27,-30,-64,-44,17,633,2
"44","2020-03-29",-59,-35,-16,-66,-44,14,657,11
"45","2020-03-30",-54,-27,-32,-70,-60,23,711,6
"46","2020-03-31",-51,-19,-13,-68,-60,23,869,1
"47","2020-04-01",-52,-21,-10,-68,-61,24,1169,14
"48","2020-04-02",-53,-23,-16,-70,-61,25,1112,7
"49","2020-04-03",-55,-23,-33,-69,-60,27,1059,9
"50","2020-04-04",-57,-25,-17,-63,-45,17,1673,66
"51","2020-04-05",-63,-45,-13,-67,-46,14,1251,49
"52","2020-04-06",-51,-21,2,-68,-60,23,1363,44
"53","2020-04-07",-52,-18,-1,-68,-61,24,1614,49
"54","2020-04-08",-51,-17,-3,-67,-61,24,1157,43
"55","2020-04-09",-44,-3,-15,-68,-62,24,1230,56
"56","2020-04-10",-70,-43,-24,-77,-81,33,1391,55
"57","2020-04-11",-54,-15,-22,-63,-47,17,1474,74
"58","2020-04-12",-74,-62,-4,-67,-51,14,1385,60
"59","2020-04-13",-55,-29,-25,-74,-69,26,1168,84
"60","2020-04-14",-50,-16,-11,-68,-60,24,1064,64
"61","2020-04-15",-50,-19,-14,-68,-60,24,1298,63
"62","2020-04-16",-49,-18,-6,-68,-60,25,1383,123
"63","2020-04-17",-53,-22,-22,-67,-59,27,1318,107
"64","2020-04-18",-54,-24,-3,-57,-40,16,1717,182
"65","2020-04-19",-60,-43,-13,-64,-42,14,1791,115
"66","2020-04-20",-46,-19,15,-65,-58,22,1468,158
"67","2020-04-21",-50,-22,-17,-68,-58,23,1436,113
"68","2020-04-22",-50,-22,-22,-67,-58,24,2046,110
"69","2020-04-23",-49,-19,-1,-66,-58,24,1590,144
